data,id,command
2023-09-09-12-58,644440906,/view_stat
2023-09-09-12-58,438256941,Показать все локации
2023-09-09-12-58,644440906,/view_stat
2023-09-09-12-59,644440906,/view_stat
2023-09-09-12-59,644440906,/view_stat
2023-09-09-12-59,644440906,/view_stat
2023-09-09-13-00,644440906,/view_static
2023-09-09-13-00,1257879813,/start
2023-09-09-13-01,644440906,/view_static
2023-09-09-13-01,638476535,/start
2023-09-09-13-01,638476535,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-02,180875189,/start
2023-09-09-13-02,180875189,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-02,644440906,/view_static
2023-09-09-13-03,644440906,/start
2023-09-09-13-03,644440906,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-04,644440906,/view_static
2023-09-09-13-04,644440906,Ali Phi
2023-09-09-13-04,644440906,Вернуться в главное меню
2023-09-09-13-04,644440906,ℹ️ Информация о фестивале
2023-09-09-13-05,1257879813,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-05,1257879813,Посмотреть всех художников
2023-09-09-13-05,1257879813,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-05,444908901,/start
2023-09-09-13-05,444908901,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-05,444908901,Бесплатные локации
2023-09-09-13-05,644440906,/view_static
2023-09-09-13-06,444908901,Ночная программа
2023-09-09-13-08,745401517,Список локаций в 2ГИС
2023-09-09-13-10,745401517,Бесплатные локации
2023-09-09-13-10,745401517,Где купить мерч
2023-09-09-13-11,180875189,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-11,180875189,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-12,518047010,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-13,518047010,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-13,518047010,Бесплатные локации
2023-09-09-13-14,518047010,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-14,750731199,/start
2023-09-09-13-19,772279683,/start
2023-09-09-13-19,772279683,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-19,772279683,Бесплатные локации
2023-09-09-13-19,772279683,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-19,188185,/start
2023-09-09-13-19,188185,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-19,772279683,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-20,772279683,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-20,188185,Бесплатные локации
2023-09-09-13-20,772279683,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-20,772279683,Показать все локации
2023-09-09-13-20,1067746203,/start
2023-09-09-13-20,1067746203,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-20,423922162,Вернуться в главное меню
2023-09-09-13-20,1067746203,Вернуться в главное меню
2023-09-09-13-20,423922162,❓F.A.Q.
2023-09-09-13-20,1067746203,⚡️Купить билеты
2023-09-09-13-21,672212056,/start
2023-09-09-13-22,374314043,Ночная программа
2023-09-09-13-22,374314043,Вернуться в главное меню
2023-09-09-13-22,374314043,ℹ️ Информация о фестивале
2023-09-09-13-23,672212056,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-23,276912084,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-29,672212056,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-29,672212056,Ночная программа
2023-09-09-13-29,672212056,Бесплатные локации
2023-09-09-13-32,377789144,Показать все локации
2023-09-09-13-35,396075722,/start
2023-09-09-13-35,396075722,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-35,396075722,Бесплатные локации
2023-09-09-13-35,442339633,/start
2023-09-09-13-35,442339633,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-36,810889893,/start
2023-09-09-13-36,810889893,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-36,182632109,Где купить мерч
2023-09-09-13-36,810889893,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-36,810889893,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-37,442339633,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-37,442339633,Бесплатные локации
2023-09-09-13-38,442339633,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-38,442339633,Показать все локации
2023-09-09-13-40,1786353199,/start
2023-09-09-13-40,1786353199,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-41,1786353199,Бесплатные локации
2023-09-09-13-41,182632109,Вернуться в главное меню
2023-09-09-13-41,1786353199,Показать все локации
2023-09-09-13-42,338930932,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-42,1786353199,Вернуться в главное меню
2023-09-09-13-42,1786353199,ℹ️ Информация о фестивале
2023-09-09-13-42,741247110,/start
2023-09-09-13-42,741247110,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-43,1786353199,⚡️Купить билеты
2023-09-09-13-46,1155686194,"В меню можете выбрать то, что вас интересует"
2023-09-09-13-46,1155686194,Broken Composers
2023-09-09-13-46,1155686194,Formate
2023-09-09-13-46,1039994035,/start
2023-09-09-13-47,1039994035,"В меню можете выбрать то, что вас интересует"
